,SMILES,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
QM9[121906],CC(C)[C@@H](O)CCCO,2.7229,86.25,-0.2596,0.0717,0.3313,2081.1987,0.225975,-426.628993,-426.617056,-426.616112,-426.666868,42.779
QM9[73893],NC1=C(C=O)[C@H]2N[C@H]2C1,5.2084,79.46,-0.2096,-0.0311,0.1785,1132.0262,0.137108,-418.010828,-418.002708,-418.001763,-418.043358,31.135
QM9[73494],C[C@@]12CC[C@H]3OC[C@@H]1[C@H]32,1.6647,80.6,-0.2379,0.0827,0.3206,1014.0285,0.185398,-387.101867,-387.094362,-387.093418,-387.133477,30.698
QM9[47160],O=C1CCC=C2CC[C@@H]12,2.5735,81.9,-0.2268,-0.0121,0.2147,1107.6761,0.160329,-385.909996,-385.902122,-385.901177,-385.943223,30.485
QM9[129088],C#CC1=C([NH])C=NO[CH]1,0.4628,78.73,-0.2358,-0.0654,0.1704,1080.9405,0.08908,-415.545582,-415.538158,-415.537214,-415.577655,27.954
QM9[1142],C[C@H]1CC(C)(C)O1,1.5121,67.47,-0.2383,0.0836,0.3219,825.052,0.169811,-310.923406,-310.9153,-310.914355,-310.955303,30.357
QM9[77351],C[C@@H]1C(=O)NC[C@H]1C=O,2.5715,73.49,-0.2475,-0.0355,0.212,1253.6495,0.147508,-439.146008,-439.13704,-439.136096,-439.180461,32.221
QM9[7526],C[C@@]1(NC=O)C[C@H]1O,2.5028,65.72,-0.2338,0.0251,0.259,983.4905,0.140548,-401.003111,-400.994379,-400.993435,-401.036172,31.959
QM9[76686],C[C@@H]1[C@H](OC2CC2)[C@@H]1O,1.8682,79.21,-0.2283,0.0742,0.3025,1330.1028,0.180671,-424.176523,-424.166885,-424.16594,-424.211432,35.857
QM9[93843],C[C@H]1OC[C@@H](O)C[C@H]1O,2.3872,73.96,-0.2454,0.067,0.3124,1101.9421,0.183468,-461.373359,-461.364542,-461.363598,-461.40621,34.771
QM9[86661],CC1=N[C@@H](C)CN1C=O,2.8549,80.51,-0.2387,-0.0149,0.2238,1272.2532,0.159359,-419.263775,-419.254618,-419.253674,-419.298247,33.063
QM9[11250],O=CN1C=C[C@@H](O)C1,1.9997,66.79,-0.2275,-0.0168,0.2106,993.2939,0.119666,-399.828396,-399.821,-399.820056,-399.860438,26.979
QM9[30402],C/N=c1\ncoc(O)n1,5.0348,71.1,-0.2416,-0.0415,0.2001,1185.9261,0.101159,-470.033421,-470.025551,-470.024606,-470.066319,28.413
QM9[21225],CNc1nocc1N,3.7921,64.29,-0.2092,0.016,0.2252,946.8296,0.120196,-395.961164,-395.953373,-395.952429,-395.993268,28.336
QM9[27343],[NH]C1=NC(O)NC=C1O,4.0015,69.34,-0.2027,-0.0066,0.1961,1083.8779,0.103708,-470.063883,-470.056607,-470.055663,-470.095414,28.605
QM9[16703],C[C@H]1O[C@@H]2C[C@H]1[C@H]2O,0.7394,67.14,-0.2291,0.0702,0.2994,867.7888,0.154646,-384.913589,-384.906417,-384.905473,-384.944461,28.657
QM9[91582],C[C@H]1C[C@H]2O[C@@]12CC=O,2.7923,75.92,-0.2472,-0.0273,0.2199,1246.8208,0.156797,-423.002989,-422.993917,-422.992973,-423.037675,33.09
QM9[118049],C[C@@H](CCO)[C@@H](C)CO,2.2105,85.84,-0.2611,0.0787,0.3399,1852.1505,0.22635,-426.618801,-426.606875,-426.605931,-426.656981,42.645
QM9[62987],C#C[C@@H]1[C@@H]2O[C@@H]2[C@@]1(C)O,1.5934,73.97,-0.2453,0.0391,0.2844,1050.4192,0.132533,-421.748871,-421.740068,-421.739123,-421.781824,33.878
QM9[32530],CNc1cocc1CO,2.5657,74.71,-0.2064,0.0231,0.2295,1237.5217,0.148541,-439.092198,-439.083375,-439.082431,-439.125957,32.654
QM9[79479],C[C@H]1[C@H]2[C@@H]3N[C@H]2[C@]13C#N,5.3499,77.63,-0.2475,0.017,0.2645,1035.9615,0.136878,-380.791162,-380.783613,-380.782669,-380.823113,29.278
QM9[106079],CO[C@]12[C]3[N]C[C@H]1[C@H]2O3,3.0619,70.19,-0.2152,-0.0613,0.1538,970.6931,0.121929,-437.723656,-437.715914,-437.71497,-437.75587,29.42
QM9[26013],NC(=O)Cc1ccoc1,3.1589,70.66,-0.2297,0.0061,0.2358,1301.5097,0.125024,-437.947492,-437.939074,-437.93813,-437.982176,30.49
QM9[26944],Cc1[nH]cnc1C1CC1,3.4927,84.15,-0.1982,0.0364,0.2345,1237.704,0.160994,-382.108106,-382.099564,-382.09862,-382.141841,31.923
QM9[10851],CC1=CC[C@H](C)OC1,1.1151,78.07,-0.2333,0.0291,0.2624,1098.2106,0.177065,-349.026545,-349.018238,-349.017294,-349.058838,31.598
QM9[64450],CC1(C)OCCCC1=O,2.565,78.36,-0.2286,-0.0178,0.2108,1117.2064,0.181634,-424.262017,-424.252782,-424.251838,-424.295688,35.35
QM9[58997],CC(C)C1=C[C@H]2O[C@H]2C1,2.0302,83.91,-0.2341,0.0076,0.2417,1315.6362,0.182113,-387.08857,-387.079693,-387.078749,-387.122312,34.1
QM9[76952],CN1[C@@H](C=O)C12CCC2,1.6236,82.08,-0.2302,-0.0336,0.1965,1150.4128,0.16956,-403.116734,-403.107667,-403.106723,-403.15043,33.729
QM9[26811],N#Cc1nc(N)c(O)[nH]1,5.1929,71.72,-0.2218,-0.0322,0.1897,1206.5314,0.091317,-448.97141,-448.963478,-448.962534,-449.003894,29.116
QM9[24816],C#CC1=CNCN=C1[NH],5.9761,82.72,-0.2097,-0.0414,0.1683,1084.3976,0.102774,-395.732216,-395.724626,-395.723682,-395.764378,28.91
QM9[68706],C#C[C@]12C[C@@]1(O)CC2=O,4.0344,75.94,-0.2331,-0.0156,0.2175,1066.5577,0.109669,-420.578155,-420.569649,-420.568705,-420.611158,32.145
QM9[109271],CCC1=CCN=COC1,2.4167,81.91,-0.2312,-0.0007,0.2305,1319.3424,0.171988,-403.15208,-403.143215,-403.142271,-403.185958,32.861
QM9[128689],COc1n[nH]c(O)c1O,0.5801,64.32,-0.1938,0.0497,0.2436,1198.4629,0.111334,-491.079244,-491.069553,-491.068609,-491.114361,32.96
QM9[28806],Cc1cccc(=O)cn1,4.0061,86.62,-0.2351,-0.0805,0.1547,1185.4693,0.12489,-400.787861,-400.779926,-400.778982,-400.820839,29.46
QM9[6728],C/N=C/OC[C@@H](C)O,1.7161,72.87,-0.2452,0.0259,0.2712,1514.7629,0.162435,-402.191608,-402.181674,-402.18073,-402.227245,34.361
QM9[104217],CC[C@@]1(O)CCC12CC2,1.4152,85.84,-0.2477,0.0689,0.3167,1237.3511,0.20427,-388.272499,-388.26272,-388.261776,-388.306597,37.894
QM9[89454],C[C@@]12C[C@@H](O)[C@]1(O)CO2,2.2583,70.9,-0.2396,0.055,0.2946,1044.2561,0.157178,-460.131865,-460.122789,-460.121845,-460.165558,34.312
QM9[70701],C[C@]12N[C@H]1COCC2=O,3.3595,71.99,-0.233,-0.0221,0.2109,1038.258,0.148262,-439.079503,-439.07137,-439.070425,-439.112079,31.056
QM9[41840],C1C[C@H]2O[C@@H]3C[C@H]2[C@H]1O3,2.2076,72.57,-0.2461,0.0822,0.3283,867.7024,0.164149,-423.058259,-423.052116,-423.051172,-423.088599,26.354
QM9[26678],Cc1c(N)[nH]c(O)c1N,1.7631,75.87,-0.1669,0.0673,0.2342,1222.574,0.147962,-435.292485,-435.282546,-435.281602,-435.326866,36.45
QM9[29737],Cn1c(O)ccc1C#N,5.5655,77.7,-0.2085,-0.0103,0.1982,1138.3079,0.11333,-416.861552,-416.852954,-416.85201,-416.895448,30.666
QM9[78149],C[C@H]1[C@@H]2C(=O)CC(=O)N12,2.0877,70.52,-0.2512,-0.0444,0.2068,1121.3487,0.123131,-437.914697,-437.906626,-437.905682,-437.947879,29.907
QM9[130817],O=CC#Cc1nnon1,1.5514,69.97,-0.2953,-0.1186,0.1767,1589.2342,0.052174,-467.512071,-467.504511,-467.503567,-467.545853,24.814
QM9[93045],C[C@H]1OC=N[C@H]2CC[C@H]21,2.1913,79.31,-0.2396,0.0284,0.268,1064.1688,0.173166,-403.160052,-403.152196,-403.151252,-403.1923,30.864
QM9[109936],CO[C@H]1[C@@H](O)C[C@]1(C)O,1.0356,75.13,-0.2475,0.0685,0.316,1202.3948,0.179539,-461.340312,-461.330085,-461.32914,-461.375168,38.015
QM9[31067],CNc1nc(O)oc1O,2.4043,65.21,-0.1805,0.0364,0.2169,1214.7657,0.112288,-491.097668,-491.088885,-491.087941,-491.131326,31.663
QM9[77750],C[C@H]1[C@H]2C(=O)N(C)[C@@]12C,3.9033,80.4,-0.2278,0.0199,0.2477,1106.7136,0.169314,-403.154245,-403.144683,-403.143739,-403.188137,35.209
QM9[129620],Nc1[nH]ncc1CC=O,1.5922,72.83,-0.2084,-0.0313,0.1771,1150.8126,0.12558,-434.093472,-434.085022,-434.084078,-434.12683,30.817
QM9[57268],C[C@@](O)(C#N)[C@@]1(C)CN1,2.6214,75.04,-0.2596,0.01,0.2696,1099.2211,0.157155,-419.194565,-419.184762,-419.183818,-419.228639,36.727
QM9[116320],CC[C@H]1OCC[C@H]2C[C@H]21,1.2121,85.46,-0.2437,0.0819,0.3256,1292.9689,0.207573,-388.293826,-388.28504,-388.284096,-388.327223,34.371
QM9[73228],C[C@]12OC[C@H]1CNC2=O,4.8235,71.41,-0.2295,0.0185,0.248,989.1956,0.148931,-439.115048,-439.106995,-439.106051,-439.147593,30.545
QM9[80942],C[C@@]12O[C@@H]([C@H]1O)[C@H]2C#N,2.8501,69.62,-0.2758,0.009,0.2848,1073.2883,0.123024,-437.835288,-437.827131,-437.826187,-437.867888,30.94
QM9[27609],N#Cc1cc(O)ncn1,4.4924,70.09,-0.2896,-0.0829,0.2067,1128.7794,0.080296,-431.743024,-431.736228,-431.735283,-431.774523,25.195
QM9[50884],C#CCCC(=O)NC=N,1.1278,79.99,-0.26,-0.021,0.2391,1913.7893,0.134277,-418.015612,-418.005724,-418.00478,-418.052118,34.307
QM9[132280],CC1=CC(F)OC([NH])=N1,3.849,70.61,-0.2375,-0.0576,0.1799,1128.1875,0.099645,-478.009704,-478.001881,-478.000937,-478.042556,28.669
QM9[130684],[N][N][C]1OC(=O)NC1=O,0.4787,63.21,-0.2489,-0.107,0.1419,1053.4663,0.0542,-504.77817,-504.771082,-504.770138,-504.810284,25.016
QM9[6329],C/N=C(\C)OC(N)=O,4.5253,65.47,-0.2616,-0.0012,0.2605,1115.4679,0.127959,-417.109984,-417.100593,-417.099649,-417.145762,31.745
QM9[69371],C[C@]12C[C@H]1[C@H]([C@H]1CO1)C2,1.3212,82.73,-0.2464,0.0943,0.3407,1258.7484,0.182313,-387.042429,-387.03388,-387.032936,-387.075683,33.173
QM9[84666],CN1C=N[C@H]2C[C@H]2N=C1,2.4947,81.56,-0.2112,-0.0086,0.2026,1103.2981,0.149926,-398.117385,-398.109388,-398.108444,-398.151072,29.983
QM9[2605],O=C[C@]1(CO)CN1,2.8753,54.37,-0.2569,-0.038,0.219,713.8518,0.112789,-361.688335,-361.68122,-361.680276,-361.719508,25.455
QM9[48756],[NH][C]1C[C@H]2C[C@@]2(C=O)O1,0.9084,71.33,-0.2606,-0.0405,0.2201,1113.9147,0.124029,-437.902458,-437.894733,-437.893789,-437.935007,29.119
QM9[45298],O=C1[CH][C]2C=CC[C@@H]2N1,4.7773,80,-0.2364,-0.0494,0.1871,1086.9421,0.127703,-400.806132,-400.79943,-400.798486,-400.837151,26.977
QM9[126694],CCN(C)c1ncon1,1.78,74.75,-0.2154,-0.0081,0.2073,1229.9897,0.147962,-435.26609,-435.257095,-435.256151,-435.300559,31.679
QM9[89853],C[C@@H]1C=CCC2(CC2)O1,1.0094,84.5,-0.2401,0.0238,0.2639,1172.3372,0.182681,-387.090212,-387.08179,-387.080845,-387.122895,33.619
QM9[40776],C1CC1[C@H]1CC[C@H]2C[C@H]21,0.1223,88.95,-0.2551,0.0862,0.3413,1332.2027,0.208384,-351.146631,-351.13843,-351.137486,-351.179566,33.135
QM9[111133],OC[C@@H]1[C@@H]2O[C@H]1[C@@H]1N[C@H]21,0.9841,70.54,-0.2342,0.0762,0.3104,1089.2995,0.149103,-438.999818,-438.992396,-438.991452,-439.031807,29.482
QM9[57135],C[C@@H](C#CC#N)[C@H]1CO1,5.3525,82.53,-0.2791,-0.0418,0.2373,1506.6639,0.122907,-400.713346,-400.704195,-400.70325,-400.748217,32.064
QM9[109537],CC[C@H]1C(C)(C)[C@]1(C)O,1.3821,89.72,-0.2372,0.0726,0.3099,1366.3612,0.225112,-389.491325,-389.479703,-389.478759,-389.527261,43.292
QM9[40510],C1CC1[C@]12CC[C@H]1CO2,1.5549,82.11,-0.2383,0.0731,0.3114,1138.4269,0.183323,-387.046785,-387.038603,-387.037658,-387.079919,31.97
QM9[47293],[NH][C]1CCOC(=O)CO1,1.7865,67.11,-0.268,-0.0073,0.2607,1129.254,0.125287,-475.053384,-475.045436,-475.044492,-475.086704,29.059
QM9[23619],[NH]C1=CC(F)OC=C1,2.9692,60.9,-0.2294,-0.03,0.1994,853.1759,0.084996,-422.648062,-422.641994,-422.641049,-422.678385,23.134
QM9[125763],Cc1noc(N)c1C#N,2.648,71.85,-0.2378,-0.0123,0.2255,1115.8583,0.101098,-432.895819,-432.887407,-432.886463,-432.928858,30.47
QM9[8058],CC12CN(C1)[C@H]2C=O,3.7599,69.7,-0.2374,-0.0353,0.2021,881.8333,0.141652,-363.788925,-363.781509,-363.780565,-363.820556,27.968
QM9[41175],C1=C[C@]23C[C@H]1O[C@H]2CO3,0.8123,71.1,-0.2409,-0.0047,0.2362,859.4377,0.138478,-421.773308,-421.767214,-421.76627,-421.803311,26.43
QM9[118714],OCC[C@]1(O)[C@@H]2C[C@H]1O2,1.18,71.22,-0.252,0.0727,0.3247,1315.2633,0.158302,-460.081335,-460.072745,-460.071801,-460.114956,33.046
QM9[40111],[CH]1C[C@]2(CO2)[C@@H]2OC[C]12,2.4339,73.91,-0.2435,-0.0034,0.2401,1017.4934,0.136429,-421.762453,-421.75526,-421.754316,-421.794113,28.244
QM9[122438],C[C@@]1(O)C[C@H]1OCCO,1.6487,76.05,-0.2438,0.0729,0.3167,1489.6636,0.179528,-461.330384,-461.320041,-461.319097,-461.366071,38.072
QM9[79080],O[C@@H]1[C@@H]2C=C[C@@H]3[C@H]1[C@]23O,2.3261,71.66,-0.2278,0.0066,0.2345,935.916,0.136958,-421.791091,-421.783922,-421.782978,-421.822125,29.835
QM9[101291],C#C[C@@H]1N[C@@H]1[C@H](O)CO,1.8293,74.03,-0.2534,0.0268,0.2802,1305.0302,0.145856,-439.006802,-438.997278,-438.996333,-439.041618,35.332
QM9[14309],C[C@H]1C[C@@H]2[C@H](O1)[C@@H]2O,1.8633,66.71,-0.2355,0.0734,0.3089,867.1066,0.154549,-384.927466,-384.920131,-384.919187,-384.95887,28.807
QM9[99429],C#CC(C#C)(C#N)CO,3.5534,73.45,-0.2818,0.0047,0.2866,1106.6594,0.096186,-399.462193,-399.452123,-399.451179,-399.49727,35.007
QM9[131482],O[C@H]1C[C@H]1c1c[nH]nn1,5.1171,71.95,-0.2268,-0.0113,0.2154,1134.5708,0.126433,-434.048123,-434.040771,-434.039827,-434.080325,28.388
QM9[107276],OC[C@]12O[C@H]1[C@H]1C[C@@H]2C1,1.6125,74.05,-0.2485,0.0601,0.3085,1017.3568,0.160523,-422.97246,-422.964893,-422.963949,-423.004538,30.258
QM9[13245],O=CC#C[C@H]1CCO1,3.2922,70.4,-0.2677,-0.0655,0.2022,1394.0217,0.105728,-382.489299,-382.481199,-382.480255,-382.52369,26.619
QM9[33328],C#CC#C[C@H]1N[C@H]1C#N,4.5259,86.64,-0.254,-0.0371,0.2169,1494.4356,0.087996,-378.391182,-378.382694,-378.38175,-378.425116,30.419
QM9[110867],CO[C@H]1[C@H]2C[C@@H](O)[C@]21C,1.9621,78.67,-0.242,0.0749,0.3169,1133.8103,0.1814,-424.188922,-424.179455,-424.178511,-424.2229,35.593
QM9[63120],C#C[C@@]12OC[C@@H]1[C@@]2(C)O,0.5606,76.85,-0.2264,0.0121,0.2385,1060.1447,0.132662,-421.74314,-421.734175,-421.733231,-421.776239,34.105
QM9[93577],C[C@@H]1C=C([C@H]2CO2)CC1,1.7926,87.2,-0.2314,0.0119,0.2433,1472.8799,0.182913,-387.088896,-387.080087,-387.079143,-387.122723,33.316
QM9[125231],Cc1cc(N2CC2)no1,2.7795,77.29,-0.2316,0.0028,0.2344,1313.9977,0.136135,-417.980553,-417.972355,-417.971411,-418.013998,29.914
QM9[51017],O=CCC1(CC=O)CN1,2.3005,72.68,-0.2401,-0.0384,0.2017,1274.8777,0.144989,-439.073367,-439.063878,-439.062934,-439.109273,33.113
QM9[90518],C#CC[C@H]1[C@H]2[C@@H](O)CN12,2.1953,77.11,-0.2363,0.0474,0.2837,1207.5502,0.1467,-401.855066,-401.846399,-401.845455,-401.888726,32.997
QM9[24151],c1cc(C[C@H]2CO2)c[nH]1,2.7061,78.79,-0.202,0.0482,0.2502,1397.2013,0.14913,-401.959691,-401.951584,-401.95064,-401.993389,30.433
QM9[1674],CC[C@@H](C)C(N)=O,3.3976,64.3,-0.2397,0.0377,0.2774,917.7567,0.158399,-327.024699,-327.015444,-327.0145,-327.059628,31.698
QM9[81607],CN1[C@H]2C[C@@H]1[C@H]2CC#N,3.5663,80.43,-0.2175,0.0329,0.2504,1200.2944,0.159488,-381.993583,-381.985094,-381.98415,-382.027539,31.853
QM9[11383],CC[C@@H]1[CH]C=C([NH])O1,4.1113,73.29,-0.2428,-0.0319,0.2109,1029.2401,0.142993,-363.892007,-363.884426,-363.883482,-363.924082,28.334
QM9[42638],N#C[C@@]12O[C@H]3[C@@H]1[C@H]3C2=O,5.7755,63.56,-0.2594,-0.0419,0.2175,909.3645,0.076762,-435.429783,-435.423063,-435.422119,-435.461079,25.43
QM9[86395],O[C@H]1C[C@@H](O)[C@@]2(O)C[C@@H]12,2.6954,70.81,-0.2495,0.0672,0.3167,1127.2541,0.158698,-460.148445,-460.139592,-460.138648,-460.181407,34.61
QM9[94508],O=CC#C[C@@H]1OC[C@@H]1O,2.7982,74.08,-0.271,-0.0676,0.2034,1548.7672,0.109994,-457.704255,-457.695021,-457.694077,-457.740155,30.953
QM9[51283],O=CCC1=CC[C@H]2C[C@@H]12,2.5457,82.53,-0.2288,-0.0282,0.2006,1318.5357,0.159295,-385.900546,-385.892219,-385.891275,-385.934847,31.126
QM9[118448],CNC[C@@H](OC)C([O])=O,13.8195,74.35,-0.1749,-0.0031,0.1719,1416.7013,0.169704,-477.375159,-477.364782,-477.363838,-477.411477,36.143
QM9[58465],C[C@@H](O)[C@]1(O)C[C@H](O)C1,1.5313,74.19,-0.2485,0.0606,0.3091,1211.046,0.180208,-461.348704,-461.338823,-461.337878,-461.382838,38.177
QM9[18033],C1CO[C@H]2CO[C]2[N]1,2.2915,61.63,-0.2539,0.0096,0.2635,789.7625,0.121078,-399.774852,-399.768539,-399.767595,-399.805364,24.066
QM9[75489],CC1=CCCC2(CC2)C1,0.1221,91.99,-0.2261,0.0361,0.2622,1276.1625,0.207125,-351.173138,-351.16441,-351.163466,-351.206086,34.983
QM9[39712],C1=C[C@@H]2[C@H]3N2[C@@H]1C31CC1,1.7261,79.4,-0.2104,0.0021,0.2125,939.0242,0.149716,-364.749649,-364.743027,-364.742083,-364.780303,27.909
QM9[21358],c1cc2oncc2[nH]1,4.8924,61.99,-0.22,-0.0135,0.2065,726.0851,0.087396,-377.520764,-377.515322,-377.514378,-377.550081,21.485
QM9[35722],N#C[C@H]1NC[C@H]1C1CC1,4.4461,79.79,-0.2494,0.0171,0.2666,1233.5896,0.160551,-382.042799,-382.034214,-382.03327,-382.076692,31.854
QM9[87592],C[C@H]1N[C@@]12C=C[C@H]1C[C@H]12,1.6147,85.38,-0.2204,0.0148,0.2352,1143.6221,0.172247,-365.987064,-365.979129,-365.978185,-366.019212,31.967
QM9[132546],Cc1cnc(F)cc1C,3.7522,78.11,-0.2452,-0.0229,0.2223,1214.3007,0.135945,-426.055264,-426.047099,-426.046155,-426.087889,30.778
QM9[85331],O=C1C[C@H](O)[C@@H]2CCN12,3.55,72.01,-0.2381,0.0196,0.2577,1001.276,0.149486,-439.105248,-439.097458,-439.096514,-439.137713,29.911
QM9[120576],CCC[C@H]1C[C@]1(O)C#N,3.8438,81.86,-0.2762,0.0169,0.2931,1681.1675,0.169045,-403.152101,-403.142006,-403.141062,-403.187612,36.558
QM9[107143],CC[C@]12C[C@H]1C1(CC1)C2,0.3644,91.09,-0.2352,0.0891,0.3243,1396.1172,0.205535,-351.1199,-351.110851,-351.109907,-351.15354,35.643
QM9[118847],CCC[C@@]1(O)C[C@H]1CC,1.2952,90.27,-0.2483,0.0766,0.3249,1787.1513,0.22658,-389.488802,-389.477583,-389.476639,-389.525406,41.367
QM9[51815],O=CC[C@H]1CC=CCO1,3.3664,77.98,-0.2417,-0.0191,0.2226,1435.1024,0.15865,-423.041799,-423.033079,-423.032134,-423.07618,31.842
QM9[16171],CC[C@@]12COC[C@@H]1C2,1.6265,74.39,-0.247,0.0866,0.3336,1000.7953,0.178216,-349.004036,-348.996226,-348.995282,-349.036041,30.053
QM9[111399],CO[C@@H]1[C@H](C=O)[C@@H]2O[C@@H]21,3.2411,68.82,-0.2451,-0.0299,0.2152,1100.8469,0.133474,-458.909065,-458.900345,-458.899401,-458.943454,30.937
QM9[24949],O=C1Cc2ccoc2O1,3.5798,63.87,-0.2173,-0.017,0.2003,1022.9908,0.090822,-456.61287,-456.606452,-456.605508,-456.643826,24.802
QM9[2206],C[C@H]1C[C@@H](O)[C@H]1C,1.3159,67.05,-0.251,0.0742,0.3251,819.7929,0.170964,-310.912796,-310.904739,-310.903794,-310.944433,30.263
QM9[102887],CC[C@H](C#N)NCC#N,4.8964,77.88,-0.2737,-0.0027,0.271,1581.4044,0.146783,-398.142523,-398.132467,-398.131523,-398.178599,34.704
QM9[65647],O=C[C@]1(O)C[C@H]2CO[C@H]21,2.7215,68.43,-0.2515,-0.0324,0.2191,1046.2365,0.134986,-458.931883,-458.923942,-458.922998,-458.964726,30.041
QM9[45431],O=C1C[C@H]2CC[C@@H]1OC2,3.3582,73.61,-0.2264,-0.0176,0.2088,959.5499,0.162178,-423.062947,-423.055639,-423.054694,-423.094815,29.058
QM9[56736],C#C[C@H](O)[C@@]1(C=O)CO1,1.8547,67.52,-0.2614,-0.0533,0.2081,1066.7198,0.108801,-457.700756,-457.691781,-457.690837,-457.734542,32.552
QM9[62189],C[C@H](C#N)NCCC#N,1.9798,78.15,-0.2636,0.0139,0.2776,1915.6657,0.146867,-398.147108,-398.137015,-398.136071,-398.183458,34.76
QM9[14176],CC1(C)[C@@H]2OCO[C@@H]21,1.1363,67.49,-0.2424,0.0953,0.3376,878.087,0.153181,-384.920441,-384.912612,-384.911668,-384.952233,29.398
QM9[54342],C#CC1(C(C)=O)COC1,3.1544,74.51,-0.251,-0.0282,0.2228,1114.5793,0.132487,-421.783692,-421.774215,-421.773271,-421.818893,33.591
QM9[3137],OC[C@]12CC[C@H]1N2,1.9189,60.28,-0.2503,0.0752,0.3255,749.7127,0.137977,-325.729141,-325.722403,-325.721459,-325.759976,25.253
QM9[110601],C[C@]12CN1[C@H]1[C@@H](CO)[C@H]12,1.8335,79.28,-0.2164,0.0685,0.2849,1283.9834,0.169993,-403.045801,-403.037022,-403.036078,-403.079198,33.944
QM9[9255],CC#CC[C@H](O)CC,1.2348,80.7,-0.2389,0.0549,0.2938,1648.5132,0.173795,-348.987938,-348.977311,-348.976367,-349.025167,36.253
QM9[119778],COCC1=C[C@@H](C)OC1,2.0858,83.18,-0.2262,0.0236,0.2498,1650.0938,0.180739,-424.221496,-424.211578,-424.210634,-424.257218,35.051
QM9[89986],C[C@H]1CC2(COC2)[C@H]1O,2.4462,77.53,-0.2446,0.0511,0.2957,1183.7112,0.181987,-424.190536,-424.18143,-424.180486,-424.224455,34.369
QM9[106611],O=C1[C@@H]2CO[C@@]1(CO)C2,2.5376,67.93,-0.2324,-0.0259,0.2065,1010.8539,0.136028,-458.942428,-458.934557,-458.933613,-458.974896,30.096
QM9[79745],C[C@H]1[C@H]2[C@H]3N[C@H]3C[C@@]12O,0.785,78.04,-0.228,0.072,0.2999,1042.219,0.171877,-403.109074,-403.100839,-403.099895,-403.141288,33.022
QM9[85597],[NH][C]1C[C@H](O)C(=O)CO1,2.1214,66.7,-0.2668,-0.0478,0.219,1132.4453,0.124209,-475.049859,-475.04178,-475.040836,-475.082844,30.209
QM9[45165],O=C1CN2C[C@@H]3[C@H]1[C@@H]3C2,3.116,74.2,-0.2116,-0.011,0.2005,914.5412,0.151749,-401.966523,-401.960103,-401.959159,-401.997187,26.973
QM9[93311],C#C[C@@H]1C(=O)CC[C@@H]1C,2.8013,81.07,-0.2363,-0.0239,0.2124,1157.3686,0.157889,-385.8952,-385.886112,-385.885168,-385.929114,34.24
QM9[116187],C[C@@]1(O)COC[C@H]1CO,2.7522,73.95,-0.2412,0.066,0.3072,1199.0797,0.181259,-461.35714,-461.347325,-461.346381,-461.391621,36.611
QM9[9920],OCCCC1(O)CC1,1.7889,71.68,-0.253,0.0745,0.3275,1433.2885,0.175151,-386.118906,-386.10943,-386.108486,-386.153483,34.498
QM9[29072],O=c1cccncc1O,2.6669,79.35,-0.236,-0.0859,0.1501,1053.2505,0.102488,-436.716036,-436.708841,-436.707897,-436.748031,27.258
QM9[69903],O=C[C@@]12N[C@@H]1[C@@H]1C[C@@]12O,3.0114,71.13,-0.2222,-0.0383,0.1839,1032.4933,0.12296,-437.80149,-437.793705,-437.792761,-437.833493,30.322
QM9[35323],N#C[C@@H]1C=CC2(CC2)N1,4.947,79.33,-0.2341,-0.0054,0.2287,1169.3986,0.137228,-380.863329,-380.855464,-380.85452,-380.896203,30.281
QM9[118581],CCO[C@@H](CC)CCO,1.905,86.58,-0.2446,0.0813,0.3259,1844.0781,0.225892,-426.62122,-426.609186,-426.608242,-426.659907,41.959
QM9[14708],CCO/C=N/CC=O,4.2606,71.44,-0.2408,-0.0204,0.2204,1800.4974,0.138585,-401.00215,-400.992554,-400.99161,-401.039057,31.372
QM9[57933],C[C]([NH])OC(=O)[C@@H](C)N,2.3105,73.93,-0.249,-0.0116,0.2375,1424.6944,0.156768,-456.381311,-456.370666,-456.369722,-456.418489,36.803
QM9[130418],N#Cc1nnc(CN)[nH]1,7.1967,72.26,-0.2681,-0.0466,0.2215,1296.9581,0.103655,-429.070439,-429.062543,-429.061599,-429.103434,28.296
QM9[84134],C[C@H]1N=C(N)OC12CC2,1.6089,77.02,-0.2171,0.0585,0.2756,1144.151,0.159831,-419.223211,-419.214622,-419.213678,-419.256549,33.373
QM9[24683],c1ccc2c(c1)CCC2,0.5263,89.31,-0.2278,0.0031,0.2309,1117.292,0.163918,-348.848025,-348.841156,-348.840212,-348.879112,28.297
QM9[38116],C1=C[C@]23CN2C=N[C@@H]3C1,1.7993,77.35,-0.2387,-0.0043,0.2343,915.7178,0.139277,-380.864055,-380.857595,-380.856651,-380.894644,26.655
QM9[77484],C[C@@]12C[C@@](C)(C1=O)[C@@H]2O,2.7683,76.38,-0.2295,0.0004,0.23,1110.3683,0.156645,-423.002089,-422.992533,-422.991589,-423.035908,35.345
QM9[119645],OCC[C@]12C[C@@H]3[C@H]1[C@@H]3C2,1.0763,81.8,-0.2437,0.08,0.3237,1356.427,0.18302,-387.034269,-387.025809,-387.024865,-387.067715,32.881
QM9[61125],C#CC/N=C(\N)CC#N,2.5477,76.92,-0.2543,0.0042,0.2585,1436.9965,0.122656,-396.911384,-396.90177,-396.900826,-396.946723,34.344
